name,ratings,avg_price
Daily Pâtes,4.4,9.782608695652174
DailySlice,4.4,7.040983606557377
Daisuki Sushi,3.2,10.56404109589041
Dal Pesce Innamorato,3.5,17.232758620689655
Damas Veneto,3.4,7.186349206349207
Damasco,4.1,6.744186046511628
Dar Es Salaam,4.3,9.137037037037036
Dar Pastila,4.6,7.871428571428572
Dar Za,4.4,6.935294117647059
De 3 Piramiden,3.6,10.950413223140496
De 5e smaak,5.0,13.840909090909092
De Appel,4.6,14.561224489795919
De Appelier,4.7,9.526315789473685
De Blauwe Schuit,3.9,22.85151515151515
De Burgermeester,4.3,7.2105263157894735
De Chef,3.9,10.271794871794873
De Chinese Wok,3.5,19.67816091954023
De Echte Eethuis Carlos,5.0,11.081454545454546
De Fontein,4.4,13.401895734597158
De Friettoerist,3.6,2.722018348623853
De Friterie,3.9,2.8291338582677166
De Griekse Pita,4.6,8.307142857142857
De Hoek Van Marrakech,4.2,6.025477707006369
De Klimop,4.1,15.946808510638299
De Lange Friet,3.3,4.746666666666667
De Lekkerste Pizza,3.7,16.275862068965516
De Mezzanine by De Arme Duivel,4.7,10.763157894736842
De Mijn Kebab,3.8,10.177192982456141
De Nijl,3.9,14.38809523809524
De Nijl 1,3.0,6.2153284671532845
De Notenboom,4.9,10.962941176470588
De Oostendse Friethoek,4.0,3.4446601941747574
De Pasvite,4.5,4.9904761904761905
De Pitstop Peer,4.5,6.606459948320413
De Pizzabakker,4.4,11.103896103896103
De Platse,4.6,5.781451612903226
De Pyramide,3.4,11.333333333333334
De Pyramiden,4.1,11.533236994219653
De Saffraan,3.6,12.908712871287129
De Smullende Heks,4.3,4.176146788990826
De Statie,3.8,13.3
De Waaiberg,4.5,10.277777777777779
De Walrus,4.1,12.522727272727273
De Waterput,3.9,15.291203703703705
De Wedergeboorte,4.2,14.142105263157895
De Zeebries,4.5,7.5338383838383844
De Zorba,3.2,16.932835820895523
De Zus van Marrit,4.7,6.22421875
De Zwaan,4.4,11.304487179487179
De ster pizzeria & doner kebap,4.6,11.755494505494505
Dea's Pizza,4.1,15.481481481481481
Delco Snack's & Burger Shop,3.0,4.213483146067416
Deli Liban,4.1,8.250602409638553
Deli Sushi,3.5,14.32846153846154
Deli Twist,4.7,3.8188976377952755
Delight Sushi & Bar,4.7,13.312962962962962
Della Cassa,3.1,6.394736842105263
Deluxe Burger Dendermonde,4.3,10.834782608695653
Deluxe Burger Hamme,3.5,12.643333333333334
Deluxe burger,4.0,12.0453125
Den Esprit,3.3,11.659281437125747
Den Tweeling,3.8,3.1297297297297297
Dennis Kebap,2.9,10.680379746835444
Destiny Asian-Food,3.2,11.658904109589042
Detroit Square Pizza,4.9,6.695652173913044
Diamond Pizza Berchem,4.8,10.979385964912282
Diamond Pizza Merksem,3.9,13.903313253012048
Didi's Broodjes,4.5,4.048387096774194
Dilbi Restaurant,4.9,19.282608695652176
Dilsu Pizza Pitta,3.4,9.418421052631578
Dim Sum,3.9,6.835714285714285
"Dinner&You Burgers, Grill & More",4.5,7.680940594059406
District 13,3.9,15.640625
Diverto,3.9,5.660271317829457
Dolce Italia,3.4,8.63888888888889
Dolce Italia,3.8,8.388059701492537
Dolce Italia,4.7,5.492753623188406
Dolce Vita,4.4,17.326451612903224
Domino's Pizza,2.6,8.161842105263158
Domino's Pizza,2.7,7.7387500000000005
Domino's Pizza,2.8,8.207692307692309
Domino's Pizza,2.9,7.892086330935252
Domino's Pizza,3.0,7.745121951219512
Domino's Pizza,3.1,7.804918032786885
Domino's Pizza,3.2,7.593491124260355
Domino's Pizza,3.3,8.206890459363958
Domino's Pizza,3.4,7.662311557788945
Domino's Pizza,3.5,7.813583815028902
Domino's Pizza,3.6,7.83293918918919
Domino's Pizza,3.7,7.455718954248366
Domino's Pizza,3.8,8.115625
Domino's Pizza,3.9,7.894908350305499
