restaurant_name,latitude,longitude,avg_price,ratings
Chef Eethuis,50.9912688,5.3688786,11.375,4.4
Florya Kebab & Pizzeria,51.019872,5.4752219,11.375,3.3
Grill House Centrum,50.9642271,5.4949196,11.375,4.1
Nefertete,51.1869835,5.1173167,11.375,3.8
Pasta Pitta Derik,50.941807,4.044479,11.375,4.3
Pizzeria Sipan,50.9884214,4.7820077,11.375,4.7
Ramses II,51.394011,4.5962642,11.375,4.1
Yum Smaak,51.34099,3.2888477,11.375,0.0
Pitta New York,51.0945939,4.143846,11.350000000000001,4.1
Ali Baba,51.0782718,5.2187304,11.333333333333334,4.3
Ali's Eethuis,51.0864141,4.3285395,11.333333333333334,3.1
Hasseltse Kebab,50.9301263,5.3318256,11.333333333333334,3.3
Orontes,51.0318177,5.3730854,11.333333333333334,4.6
Pitta Can,51.062187,3.7498953,11.333333333333334,3.6
Pizzeria Evin,50.9043522,4.7222932,11.333333333333334,4.6
Pizza Bulls,51.0996057,4.2404586,11.321428571428571,4.2
Snack Grill Dansaert,50.8521231,4.3439342,11.313333333333333,3.4
Snackbar Tasty,50.9945976,4.7097848,11.3125,3.6
Frituur-Grillroom Dalia,50.8605512,5.6178644,11.3,4.6
Pizza Trenti,51.1379308,4.3783788,11.3,4.3
Grand Station,51.0967684,4.2329777,11.285714285714286,4.4
Turkoase,50.9863669,5.0487732,11.285714285714286,4.3
Pita Babylon,50.9393891,3.1221289,11.25,4.6
Pita Ephesus,50.6641724,5.5366125,11.25,3.9
Pitta Bodrum,51.0426523,4.104073,11.25,4.4
Pitta Seker,50.954109,4.0630978,11.25,4.9
Pitta Yasmin,51.0712026,3.7095474,11.25,4.3
Pittazino,50.931698,4.0362616,11.25,4.7
Bella Vita,51.2788573,4.4188902,11.24,4.3
Eetcafe Antep,51.3915605,4.4668839,11.214285714285714,3.9
Pizza Yavuz,51.0522166,3.7485857,11.214285714285714,4.0
Schaffense Kebap,50.997961,5.077685,11.214285714285714,4.6
Adana Kebab,51.0290669,4.4883672,11.2,3.5
Aly Baba,51.4678223,4.4682463,11.2,3.2
Cizbiz Donerland,51.227137,4.4502062,11.2,3.8
Ronse Grill,50.749761,3.5969296,11.2,3.6
Snack Gab & Dav,50.8653653,4.3885953,11.2,2.6
Eethuis Musti,50.8221402,4.8914991,11.166666666666666,4.4
Sezer Snack-Pizza,51.059011,3.7042263,11.166666666666666,4.4
Pitta Mr. Food,51.1542688,3.2375995,11.160714285714286,3.8
Eethuis Florya Lommel,51.2321067,5.3469081,11.142857142857142,3.6
Pinocchio,51.2508647,4.4479395,11.142857142857142,4.6
La Casa Pizzeria,51.1338131,4.4428021,11.125,4.2
Unal Snacks,51.0031161,4.6327539,11.125,4.7
Eethuis Dalin,51.1811525,4.8300739,11.120000000000001,4.1
Kebab Oelegem,51.2132023,4.5908882,11.11111111111111,4.6
Pitta Roos,51.1987497,3.1889283,11.100000000000001,3.3
Eethuis Star,50.9477982,5.344999,11.1,4.2
Foodtruck Pitta Mustafari,51.036934,3.7413306,11.1,0.0
Oklava,51.153099,5.392288,11.083333333333334,3.9
Snack Overpoort,51.039307,3.725667,11.071428571428571,3.1
Sude Snacks,51.1310279,5.4576418,11.071428571428571,4.1
Amber's Pizzalijn,51.112926,5.638634,11.0,4.6
Antalya Grill,51.2245941,2.9087838,11.0,3.8
Atlasresto,50.8595094,4.3623686,11.0,4.1
De Chef,51.0524419,4.7776624,11.0,3.9
De Pyramiden,51.1785108,3.7467088,11.0,4.1
Doner Kebab Bahri,51.0316401,5.3725979,11.0,4.7
Durum Express,50.8475034,4.303581,11.0,3.5
Döner Kebab Anatolia,50.8067955,5.2858685,11.0,4.1
Frituur Muzzy,51.0391266,5.2998532,11.0,4.4
Heide,51.0306176,4.7567441,11.0,4.1
Il Gusto Pizzeria,51.2203373,4.4026728,11.0,4.3
Iran Chicken Grill,51.2038924,3.2084074,11.0,4.0
Istanbul,51.1609827,4.9906752,11.0,3.6
Kaai Pizzeria,51.1336097,2.7538643,11.0,2.9
King Kebap,50.9770486,4.6345681,11.0,3.2
Lommelse Kebab,51.2261487,5.3141093,11.0,3.5
Masaya,50.9158814,4.6556004,11.0,3.7
Merdin 2,50.9407756,4.7316923,11.0,4.5
New Maan Pizza & Wok & Burger,50.8780503,4.7196363,11.0,3.6
Pitta Kervan,51.0410855,3.3964371,11.0,4.3
Pizza Desperado,50.841038,4.834623,11.0,4.2
Pizza Dino 21,50.8246451,4.5132418,11.0,4.4
Pizza King,51.0651573,3.7264744,11.0,4.4
Post'a Kebab,50.9074031,4.2053163,11.0,4.1
Ramses,50.8777072,4.346458,11.0,3.9
