name,latitude,longitude
Space Food,50.8349235,4.3940895
Peach Pit,50.8683464,4.3756397
La Maison d'Aladdin -The Candyman,50.8543889,4.3739292
Chick & Cheez,50.8788106,4.3729577
L'Atlas,50.857014,4.375363
Duo,50.8490682,4.3651372
Mus's Kebab,50.8620966,4.3650969
Domenica - Cucina Popolare,50.8398777,4.3734047
Gustoso Pizza,50.8349224,4.3941336
Wicos,50.821342,4.31284
Pinsamore 2,50.849285,4.3677597
Les 4 Saisons,50.8302584,4.3891574
Donburi Express,50.8376184,4.361143
Sushi Aiko-Ka,50.8267923,4.4074136
Nithi's Kitchen,50.828033,4.3747506
Maison Du Kumpir,50.849558,4.3711537
Pinsamore,50.849405,4.3678089
Le Petit Flagey,50.8280325,4.3747505
Bières et tout le Bazar,50.8453083,4.3547442
Pizza Hut Delivery,50.7211,4.49388
Mazzerina,50.7278508,4.4903866
La Mie de Pain by Prisc,50.73103,4.4818072
Manga Sushi,50.8136442,4.345278
Fisherì - Fresh Fish Burger,50.8260505,4.3469148
Pâtisserie Doce Tentação,50.8234457,4.3525658
Le Seth,50.8288159,4.344723
Sweet Sky,50.8043606,4.3582232
Pizzeria L'Ami,50.7923391,4.3524397
Hanelly Food,50.8310437,4.3444473
Da Giuse,50.803356,4.3359815
Speedy Pizzas,50.8194704,4.3272253
Le Pont De Luttre,50.8238736,4.3243399
Royale Pizza,50.8403242,4.3416667
SuperBowl,50.8361743,4.3356853
Gel Tov,50.8142693,4.3604243
L'Atlas,50.830689,4.344943
Le Guignol,50.792975,4.3479304
Da Momo,50.8256727,4.3476888
Ispahan,50.8046088,4.3662882
Mc'Döner'S,50.8144757,4.3658038
Domino's Pizza,50.8047298,4.3364939
Wok o Clock halal,50.8300826,4.3443215
Poke & More,50.8039222,4.3585209
Les enfants du pirée,50.8072116,4.3369489
Viva Brazil,50.8264868,4.3449379
Le Méditerranéen,50.8400419,4.3413944
Nori Maki,50.8137051,4.3562414
O'Tacos,50.8035632,4.3381116
Snack Cousin,50.8281543,4.3304799
Hamakom,50.8225448,4.349854
Pastador One,50.8237698,4.3235313
Au Petit En Cas (chez Lucie),50.8358433,4.3426764
La Pizza Pazza Saint-Gilles,50.831173,4.343441
At Lebanese,50.8233392,4.3528582
Poké Time,50.8288209,4.3461457
Snack Twins,50.8025734,4.3411907
Fast-Good,50.8288209,4.3461457
Café Galletos,50.83084,4.3415713
Foods 'n' Moods,50.839905,4.341234
Pizza&Go,50.8086781,4.3368221
Kitchen by PJ,51.1032895,5.8653054
Rosso Peperone,50.8995699,4.3604117
Snack Bosphore,50.867365,4.3633831
Poke N Bowl,50.7378327,5.6942033
La petite Gayoule,50.7159264,5.6832371
Pizza Berneau,50.7427452,5.7309887
Pita Aubel Sirtaki,50.703153,5.861091
Un Cent,50.6756846,5.6351175
Le Jasmin,50.7364115,5.6932625
Pizzeria Bella Vita Aubel,50.7012689,5.8587614
Basilico,50.733192,5.6672087
Fiammetta,50.6797621,5.6957822
Eetboutique Kaya,50.9075832,5.4189421
Sushi Culture,50.906796,5.421273
Fri-Tuur 't Charlotteje,51.0991085,4.2391931
Sushi Bornem,51.0992551,4.2396577
Domino's Pizza,51.096811,4.2332509
Snack El Medina,50.9884185,5.6923432
